Unnamed: 0,Protein1_ID,class,IAV Segment,IAV Strain
304,Q8N4E7,Human,,
305,P02794,Human,,
306,P55851,Human,,
307,P08100,Human,,
308,Q96PE1,Human,,
309,P15173,Human,,
310,Q9UKG1,Human,,
311,Q9UBX0,Human,,
312,A6NCS4,Human,,
313,P03999,Human,,
314,Q92858,Human,,
315,P09629,Human,,
316,P06858,Human,,
317,P09630,Human,,
318,P15918,Human,,
319,P60033,Human,,
320,P56373,Human,,
321,O75084,Human,,
322,O94788,Human,,
323,P35813,Human,,
324,P35716,Human,,
325,Q9H2Z4,Human,,
326,P19622,Human,,
327,P61923,Human,,
328,P61769,Human,,
329,Q9H461,Human,,
330,P14136,Human,,
331,P37231,Human,,
332,P41587,Human,,
333,P13796,Human,,
334,Q04726,Human,,
335,P17483,Human,,
336,O95096,Human,,
337,P18065,Human,,
338,O95631,Human,,
339,P23769,Human,,
340,Q9NP59,Human,,
341,P23771,Human,,
342,P43268,Human,,
343,A6NHT5,Human,,
344,P63244,Human,,
345,Q01959,Human,,
346,Q14469,Human,,
347,P04233,Human,,
348,P84022,Human,,
349,Q13402,Human,,
350,O14727,Human,,
351,P12644,Human,,
352,Q5S007,Human,,
353,P56693,Human,,
354,O00470,Human,,
355,P32004,Human,,
356,O60507,Human,,
357,Q13363,Human,,
358,O15178,Human,,
359,O00327,Human,,
360,O00482,Human,,
361,Q15717,Human,,
362,P12643,Human,,
363,Q99853,Human,,
364,O75414,Human,,
365,Q14790,Human,,
366,P23415,Human,,
367,P25874,Human,,
368,Q07869,Human,,
369,P53674,Human,,
370,P52797,Human,,
371,P03891,Human,,
372,P10586,Human,,
373,P55347,Human,,
374,P14653,Human,,
375,A6NMT0,Human,,
376,O00144,Human,,
377,P24821,Human,,
378,P35221,Human,,
379,Q02548,Human,,
380,Q12824,Human,,
381,P14651,Human,,
382,Q15672,Human,,
383,Q9Y651,Human,,
384,P13196,Human,,
385,Q9ULW2,Human,,
386,Q9NPG1,Human,,
387,Q10587,Human,,
388,Q08881,Human,,
389,P23142,Human,,
390,Q6NUJ1,Human,,
391,P07602,Human,,
392,P40426,Human,,
393,Q96L12,Human,,
394,P52952,Human,,
395,O43921,Human,,
396,O60674,Human,,
397,P35453,Human,,
398,P07315,Human,,
399,P07316,Human,,
400,Q8TEL6,Human,,
401,P22455,Human,,
402,P49841,Human,,
403,P31275,Human,,
404,O75688,Human,,
405,P01024,Human,,
406,Q9UP38,Human,,
407,P40424,Human,,
408,Q9BPW8,Human,,
409,P54105,Human,,
410,Q07687,Human,,
411,P26378,Human,,
412,Q9GZX9,Human,,
413,Q9BYV7,Human,,
414,P10276,Human,,
415,P19544,Human,,
416,O95832,Human,,
417,P78504,Human,,
418,Q15319,Human,,
419,P26640,Human,,
420,P01111,Human,,
421,Q9ULV1,Human,,
422,Q5T2T1,Human,,
423,Q15796,Human,,
424,P24385,Human,,
425,Q6ZVX7,Human,,
426,P52945,Human,,
427,P19784,Human,,
428,Q9NYD6,Human,,
429,Q9UBF2,Human,,
430,P20719,Human,,
431,P04628,Human,,
432,Q07666,Human,,
433,O60479,Human,,
434,P24864,Human,,
435,Q96KQ7,Human,,
436,P42224,Human,,
437,Q05066,Human,,
438,P42574,Human,,
439,P60323,Human,,
440,Q13332,Human,,
441,P83111,Human,,
442,Q9NQI0,Human,,
443,Q86U70,Human,,
444,P42858,Human,,
445,Q6N022,Human,,
446,Q14563,Human,,
447,P38432,Human,,
448,P01138,Human,,
449,P68400,Human,,
450,P48165,Human,,
451,Q00987,Human,,
452,P28356,Human,,
453,Q00613,Human,,
454,Q13467,Human,,
455,O95409,Human,,
456,Q9BYE0,Human,,
457,P31273,Human,,
458,P67870,Human,,
459,Q8TAI7,Human,,
460,Q15382,Human,,
461,Q49AN0,Human,,
462,P11487,Human,,
463,P56177,Human,,
464,P00374,Human,,
465,P22033,Human,,
466,P08709,Human,,
467,Q5T4F7,Human,,
468,P03905,Human,,
469,P00156,Human,,
470,P14415,Human,,
471,P60900,Human,,
472,P20248,Human,,
473,Q14872,Human,,
474,Q15904,Human,,
475,P83881,Human,,
476,Q14108,Human,,
477,Q96QC0,Human,,
478,P05141,Human,,
479,P09234,Human,,
480,O14925,Human,,
481,Q8NBZ7,Human,,
482,P52732,Human,,
483,P08069,Human,,
484,Q9ULK5,Human,,
485,P02489,Human,,
486,P52951,Human,,
487,P06744,Human,,
488,Q9Y586,Human,,
489,Q13394,Human,,
490,P23219,Human,,
491,P11926,Human,,
492,O95343,Human,,
493,P18146,Human,,
494,Q9NYJ7,Human,,
495,Q9UJW3,Human,,
496,O75094,Human,,
497,P41225,Human,,
498,O95471,Human,,
499,P12755,Human,,
500,Q92997,Human,,
501,P61244,Human,,
502,Q03052,Human,,
503,O15540,Human,,
504,P68032,Human,,
505,P49768,Human,,
506,P22557,Human,,
507,P46531,Human,,
508,P13942,Human,,
509,Q13485,Human,,
510,O95025,Human,,
511,P15531,Human,,
512,P48436,Human,,
513,P48167,Human,,
514,Q15797,Human,,
515,Q9NPG2,Human,,
516,P03923,Human,,
517,P04040,Human,,
518,P22830,Human,,
519,P55060,Human,,
520,P07949,Human,,
521,Q9Y6N7,Human,,
522,P00441,Human,,
523,Q8TBJ5,Human,,
524,Q9GZZ0,Human,,
525,P31274,Human,,
526,P02649,Human,,
527,P22061,Human,,
528,Q9Y6C5,Human,,
529,P09172,Human,,
530,P02008,Human,,
531,Q16637,Human,,
532,P15927,Human,,
533,Q9H1J5,Human,,
534,P11498,Human,,
535,O14627,Human,,
536,O95436,Human,,
537,Q13232,Human,,
538,P10082,Human,,
539,O15394,Human,,
540,P05976,Human,,
541,Q9GZT5,Human,,
542,P30304,Human,,
543,P30305,Human,,
544,P30307,Human,,
545,P43699,Human,,
546,P11532,Human,,
547,P40425,Human,,
548,P31260,Human,,
549,P17861,Human,,
550,P15172,Human,,
551,P23458,Human,,
552,Q9HCB6,Human,,
553,Q92988,Human,,
554,O15211,Human,,
555,P55287,Human,,
556,P47712,Human,,
557,Q9UQD0,Human,,
558,O00541,Human,,
559,P06132,Human,,
560,O15169,Human,,
561,P17542,Human,,
562,P43354,Human,,
563,Q13217,Human,,
564,P27216,Human,,
565,P23511,Human,,
566,Q16613,Human,,
567,P52799,Human,,
568,Q99687,Human,,
569,P19532,Human,,
570,Q99835,Human,,
571,Q9Y5W3,Human,,
572,P17676,Human,,
573,O95155,Human,,
574,P48742,Human,,
575,P50454,Human,,
576,P08238,Human,,
577,P11831,Human,,
578,P28702,Human,,
579,P24530,Human,,
580,P61266,Human,,
581,P10242,Human,,
582,P17482,Human,,
583,P08476,Human,,
584,Q9UHB6,Human,,
585,Q9P299,Human,,
586,Q7Z4P5,Human,,
587,Q15784,Human,,
588,Q9Y5W5,Human,,
589,P23942,Human,,
590,P06753,Human,,
591,P09493,Human,,
592,P98172,Human,,
593,Q15389,Human,,
594,P41743,Human,,
595,P00403,Human,,
596,P04798,Human,,
597,P05177,Human,,
598,P78563,Human,,
599,Q9UIU6,Human,,
600,P13385,Human,,
601,Q16656,Human,,
602,Q07820,Human,,
603,P07195,Human,,
604,P22223,Human,,
605,P12830,Human,,
606,Q01449,Human,,
607,P51449,Human,,
608,O43364,Human,,
609,Q14623,Human,,
610,P56179,Human,,
611,O95936,Human,,
612,P18031,Human,,
613,P11277,Human,,
614,P13349,Human,,
615,P11142,Human,,
616,Q5TA89,Human,,
617,P46379,Human,,
618,P05305,Human,,
619,P00846,Human,,
620,O95864,Human,,
621,Q9Y5Q0,Human,,
622,P01344,Human,,
623,Q9UQP3,Human,,
624,P05026,Human,,
625,O43524,Human,,
626,Q14814,Human,,
627,P17661,Human,,
628,P56545,Human,,
629,Q92837,Human,,
630,O75474,Human,,
631,Q6KF10,Human,,
632,P23760,Human,,
633,Q9HCS5,Human,,
634,Q07812,Human,,
635,P09016,Human,,
636,Q86U86,Human,,
637,P22303,Human,,
638,P03897,Human,,
639,P19022,Human,,
640,P55317,Human,,
641,Q03181,Human,,
642,O60248,Human,,
643,P22102,Human,,
644,Q92765,Human,,
645,Q06413,Human,,
646,Q9BZ71,Human,,
647,P31249,Human,,
648,Q14863,Human,,
649,P61289,Human,,
650,P54760,Human,,
651,O60548,Human,,
652,P62952,Human,,
653,Q9BWX5,Human,,
654,Q5XKR4,Human,,
655,P10589,Human,,
656,Q8N196,Human,,
657,P28072,Human,,
658,P52803,Human,,
659,Q9H1J7,Human,,
660,P41134,Human,,
661,Q15768,Human,,
662,Q8WYA1,Human,,
663,P22607,Human,,
664,P12004,Human,,
665,Q13562,Human,,
666,P36894,Human,,
667,Q03431,Human,,
668,Q9Y5Q3,Human,,
669,O00238,Human,,
670,P02100,Human,,
671,Q14680,Human,,
672,Q8N100,Human,,
673,P19883,Human,,
674,Q04743,Human,,
675,P28360,Human,,
676,Q08043,Human,,
677,P12883,Human,,
678,P13533,Human,,
679,P08034,Human,,
680,P11488,Human,,
681,P03915,Human,,
682,P84090,Human,,
683,Q9H255,Human,,
684,P17677,Human,,
685,Q01196,Human,,
686,P25791,Human,,
687,O43365,Human,,
688,O00425,Human,,
689,P50539,Human,,
690,Q9NZR4,Human,,
691,P54764,Human,,
692,Q2M2I5,Human,,
693,Q99456,Human,,
694,Q04695,Human,,
695,P13645,Human,,
696,P19012,Human,,
697,P02533,Human,,
698,Q15323,Human,,
699,O76011,Human,,
700,P08779,Human,,
701,P08727,Human,,
702,P13646,Human,,
703,P55283,Human,,
704,Q04771,Human,,
705,Q9UL46,Human,,
706,Q8N1B4,Human,,
707,O75829,Human,,
708,O15123,Human,,
709,P07333,Human,,
710,P43080,Human,,
711,P08670,Human,,
712,P78415,Human,,
713,Q16352,Human,,
714,P36896,Human,,
715,P14923,Human,,
716,O96014,Human,,
717,P07585,Human,,
718,Q12870,Human,,
719,Q02078,Human,,
720,P02753,Human,,
721,Q16539,Human,,
722,Q9Y6C9,Human,,
723,P01275,Human,,
724,P78543,Human,,
725,P31277,Human,,
726,Q9H2X0,Human,,
727,Q06323,Human,,
728,Q9P273,Human,,
729,P05388,Human,,
730,P01303,Human,,
731,Q9Y5C1,Human,,
732,P19087,Human,,
733,P03886,Human,,
734,P53567,Human,,
735,P41161,Human,,
736,Q95460,Human,,
737,P08195,Human,,
738,Q9UGV2,Human,,
739,Q08117,Human,,
740,P35222,Human,,
741,Q9UJU5,Human,,
742,Q5SZQ8,Human,,
743,P07900,Human,,
744,Q9NZQ9,Human,,
745,P00338,Human,,
746,Q13253,Human,,
747,Q5EB52,Human,,
748,P60174,Human,,
749,P26641,Human,,
750,O94766,Human,,
751,O96019,Human,,
752,Q9NZJ0,Human,,
753,Q9BXY0,Human,,
754,P49736,Human,,
755,P33993,Human,,
756,P52298,Human,,
757,P56282,Human,,
758,P42766,Human,,
759,P62269,Human,,
760,Q9NTJ3,Human,,
761,P62314,Human,,
762,Q15545,Human,,
763,Q14254,Human,,
764,P08922,Human,,
765,P35354,Human,,
766,P15923,Human,,
767,P35916,Human,,
768,Q96NX9,Human,,
769,P11055,Human,,
770,P13535,Human,,
771,Q9Y623,Human,,
772,P12882,Human,,
773,Q13635,Human,,
774,P29317,Human,,
775,P21709,Human,,
776,O15516,Human,,
777,Q9HCS4,Human,,
778,P10828,Human,,
779,P16234,Human,,
780,Q92786,Human,,
781,Q03252,Human,,
782,O75593,Human,,
783,P02458,Human,,
784,P61296,Human,,
785,Q13705,Human,,
786,P17302,Human,,
787,Q9UJU2,Human,,
788,Q96PU8,Human,,
789,O00548,Human,,
790,P49840,Human,,
791,P67809,Human,,
792,P50553,Human,,
793,Q99929,Human,,
794,Q92934,Human,,
795,Q06710,Human,,
796,O75323,Human,,
797,Q9NPC8,Human,,
798,Q15744,Human,,
799,P49715,Human,,
800,Q05397,Human,,
801,Q8NHW3,Human,,
802,O95947,Human,,
803,Q8WXF8,Human,,
804,P54709,Human,,
805,Q9HAK2,Human,,
806,P49810,Human,,
807,P35590,Human,,
808,P07339,Human,,
809,A0PJW8,Human,,
810,Q9UBP5,Human,,
811,Q9BUP3,Human,,
812,Q8NES3,Human,,
813,P78411,Human,,
814,Q9Y4Z2,Human,,
815,O75487,Human,,
816,P36383,Human,,
817,Q9UHC7,Human,,
818,Q13064,Human,,
819,P05413,Human,,
820,P51841,Human,,
821,P08620,Human,,
822,Q02241,Human,,
823,P49662,Human,,
824,P29466,Human,,
825,Q6UXS9,Human,,
826,P40126,Human,,
827,P25440,Human,,
828,O14793,Human,,
829,Q92879,Human,,
830,O94907,Human,,
831,P23560,Human,,
832,P13631,Human,,
833,P50993,Human,,
834,Q9NSA3,Human,,
835,P18433,Human,,
836,Q8NFW5,Human,,
837,O43763,Human,,
838,P43694,Human,,
839,O43174,Human,,
840,O75444,Human,,
841,P04637,Human,,
842,P51397,Human,,
843,Q5TGS1,Human,,
844,P14635,Human,,
845,Q16650,Human,,
846,Q06787,Human,,
847,P54368,Human,,
848,Q9BXC9,Human,,
849,O14936,Human,,
850,Q93099,Human,,
851,Q99571,Human,,
852,P48201,Human,,
853,P78310,Human,,
854,P61371,Human,,
855,P01106,Human,,
856,P18075,Human,,
857,Q13614,Human,,
858,P55895,Human,,
859,Q71UI9,Human,,
860,O43186,Human,,
861,Q9UI36,Human,,
862,P11362,Human,,
863,Q99436,Human,,
864,P15085,Human,,
865,P26927,Human,,
866,P03372,Human,,
867,Q99607,Human,,
868,P32519,Human,,
869,Q9HA82,Human,,
870,Q96G23,Human,,
871,P18509,Human,,
872,P05108,Human,,
873,P78509,Human,,
874,Q92819,Human,,
875,P81133,Human,,
876,P10244,Human,,
877,P25800,Human,,
878,O00219,Human,,
879,P48448,Human,,
880,Q92731,Human,,
881,O14977,Human,,
882,P33981,Human,,
883,Q16621,Human,,
884,O75116,Human,,
885,P25189,Human,,
886,O15105,Human,,
887,P11171,Human,,
888,Q7KZ85,Human,,
889,Q13702,Human,,
890,P61968,Human,,
891,P17752,Human,,
892,P78367,Human,,
893,Q9BXA9,Human,,
894,Q9NSC2,Human,,
895,Q9NPI5,Human,,
896,Q86YT6,Human,,
897,Q99743,Human,,
898,O00744,Human,,
899,P05783,Human,,
900,Q9ULC8,Human,,
901,P01178,Human,,
902,P01185,Human,,
903,Q12860,Human,,
904,P01222,Human,,
905,P01189,Human,,
906,Q7Z6K4,Human,,
907,O14786,Human,,
908,P12829,Human,,
909,P63316,Human,,
910,Q96KB5,Human,,
911,P63261,Human,,
912,P60709,Human,,
913,Q92186,Human,,
914,P37023,Human,,
915,Q15629,Human,,
916,Q8N609,Human,,
917,O43711,Human,,
918,P31314,Human,,
919,Q92859,Human,,
920,P12277,Human,,
921,P34741,Human,,
922,P33992,Human,,
923,Q9HB31,Human,,
924,P00742,Human,,
925,P10809,Human,,
926,Q8NHQ9,Human,,
927,P49746,Human,,
928,Q9NVU7,Human,,
929,P35443,Human,,
930,Q9NX70,Human,,
931,Q68CQ4,Human,,
932,Q3SXY8,Human,,
933,Q9NX04,Human,,
934,Q9UI12,Human,,
935,Q7RTV0,Human,,
936,Q8TDD1,Human,,
937,Q9NQL9,Human,,
938,Q9NVH2,Human,,
939,Q14118,Human,,
940,P32245,Human,,
941,P11047,Human,,
942,P08833,Human,,
943,Q969E8,Human,,
944,Q15061,Human,,
945,Q9BYG3,Human,,
946,Q6P3X3,Human,,
947,Q8N3Z6,Human,,
948,Q05901,Human,,
949,P47874,Human,,
950,P78562,Human,,
951,Q9Y230,Human,,
952,Q9Y265,Human,,
953,P07942,Human,,
954,P48061,Human,,
955,P08151,Human,,
956,Q13516,Human,,
957,P21802,Human,,
958,O00267,Human,,
959,P13637,Human,,
960,P78414,Human,,
961,P00414,Human,,
962,Q9HCK4,Human,,
963,Q02246,Human,,
964,Q86Y01,Human,,
965,Q6BEB4,Human,,
966,P51532,Human,,
967,Q6ZQN5,Human,,
968,Q12951,Human,,
969,O75030,Human,,
970,P16035,Human,,
971,Q16828,Human,,
972,P07355,Human,,
973,O76093,Human,,
974,P01008,Human,,
975,P00740,Human,,
976,P28324,Human,,
977,Q7KZF4,Human,,
978,O15520,Human,,
979,Q93097,Human,,
980,P58743,Human,,
981,P29373,Human,,
982,P58304,Human,,
983,P29762,Human,,
984,P15104,Human,,
985,Q155Q3,Human,,
986,P01574,Human,,
987,A6NI15,Human,,
988,P28482,Human,,
989,Q14145,Human,,
990,Q9NPI6,Human,,
991,Q16236,Human,,
992,O43556,Human,,
993,P01148,Human,,
994,Q15582,Human,,
995,Q96MT3,Human,,
996,Q7Z3G6,Human,,
997,P39060,Human,,
998,O15055,Human,,
999,P52701,Human,,
1000,Q6ZS82,Human,,
1001,Q86WK9,Human,,
1002,Q8TEZ7,Human,,
1003,P01210,Human,,
1004,Q8WV07,Human,,
1005,P41145,Human,,
1006,P0DP24,Human,,
1007,O43704,Human,,
1008,P50225,Human,,
1009,P49888,Human,,
1010,P0CE72,Human,,
1011,O43435,Human,,
1012,P09619,Human,,
1013,P08123,Human,,
1014,P02452,Human,,
1015,O15130,Human,,
1016,P60201,Human,,
1017,P69905,Human,,
1018,Q8N1E6,Human,,
1019,Q8IWI9,Human,,
1020,Q9NQB0,Human,,
1021,P61278,Human,,
1022,O00230,Human,,
1023,P05062,Human,,
1024,Q9H3D4,Human,,
1025,P06454,Human,,
1026,Q9BQE3,Human,,
1027,P68363,Human,,
1028,Q8N3R9,Human,,
1029,Q13489,Human,,
1030,Q13490,Human,,
1031,Q9HD36,Human,,
1032,P42575,Human,,
1033,P55212,Human,,
1034,P55211,Human,,
1035,O15392,Human,,
1036,Q96FV9,Human,,
1037,P55061,Human,,
1038,O95831,Human,,
1039,O95319,Human,,
1040,O15519,Human,,
1041,O76075,Human,,
1042,Q99683,Human,,
1043,Q13641,Human,,
1044,Q9BXS6,Human,,
1045,O15460,Human,,
1046,Q14112,Human,,
1047,Q99496,Human,,
1048,Q9H0Z9,Human,,
1049,Q96HZ4,Human,,
1050,Q9HBH9,Human,,
1051,Q12864,Human,,
1052,Q9UKL4,Human,,
1053,Q9Y4D1,Human,,
1054,P60891,Human,,
1055,Q96F81,Human,,
1056,Q9P1Z2,Human,,
1057,P15336,Human,,
1058,Q9H772,Human,,
1059,Q86WG5,Human,,
1060,Q9NRG9,Human,,
1061,Q9HCJ1,Human,,
1062,Q9UKT7,Human,,
1063,Q9UBM7,Human,,
1064,P51610,Human,,
1065,Q9Y5T5,Human,,
1066,P34820,Human,,
1067,Q7Z5Y6,Human,,
1068,P09651,Human,,
1069,Q00341,Human,,
1070,P25311,Human,,
1071,Q30201,Human,,
1072,Q9Y2G4,Human,,
1073,P00533,Human,,
1074,P04085,Human,,
1075,Q15084,Human,,
1076,P01871,Human,,
1077,P04843,Human,,
1078,Q05329,Human,,
1079,P06241,Human,,
1080,Q96RL7,Human,,
1081,Q99707,Human,,
1082,Q99961,Human,,
1083,P17947,Human,,
1084,P14625,Human,,
1085,P08253,Human,,
1086,P01019,Human,,
1087,Q14188,Human,,
1088,Q96G74,Human,,
1089,Q9UQB3,Human,,
1090,Q9Y618,Human,,
1091,P30084,Human,,
1092,Q86UE4,Human,,
1093,Q9C004,Human,,
1094,Q9BSM1,Human,,
1095,Q6XYB7,Human,,
1096,Q9HCU9,Human,,
1097,Q8NBU5,Human,,
1098,O14490,Human,,
1099,P42263,Human,,
1100,P20941,Human,,
1101,P43007,Human,,
1102,Q14140,Human,,
1103,Q9NSE4,Human,,
1104,P62140,Human,,
1105,O14744,Human,,
1106,Q8IX15,Human,,
1107,O75843,Human,,
1108,P47898,Human,,
1109,O43903,Human,,
1110,Q9NWQ9,Human,,
1111,Q96H22,Human,,
