Protein1_ID,Protein2_ID,IAV_Strain,IAV_Segment
Q96B26,P03485,PR8,M1
P61964,P03485,PR8,M1
Q9HCE1,P03485,PR8,M1
O14828,P03485,PR8,M1
Q15365,P03485,PR8,M1
Q12800,P03485,PR8,M1
Q9H898,P03485,PR8,M1
O75569,P03485,PR8,M1
Q9NZL4,P03485,PR8,M1
Q9UBM7,P03485,PR8,M1
Q9UBB4,P03485,PR8,M1
P53007,P03485,PR8,M1
Q9Y282,P03485,PR8,M1
Q9H3G5,P03485,PR8,M1
P46087,P03485,PR8,M1
O43815,P03485,PR8,M1
Q9NXS2,P03485,PR8,M1
P38159,P03485,PR8,M1
P46977,P03485,PR8,M1
P13591,P03485,PR8,M1
Q92542,P03485,PR8,M1
Q92499,P03485,PR8,M1
Q9Y2X3,P03485,PR8,M1
Q96KN7,P03485,PR8,M1
P51114,P03485,PR8,M1
Q9H190,P03485,PR8,M1
Q9BXW9,P0C0U1,PR8,PB1-F2
P57740,P0C0U1,PR8,PB1-F2
O95071,P0C0U1,PR8,PB1-F2
Q8WVX9,P0C0U1,PR8,PB1-F2
Q9BRT8,P0C0U1,PR8,PB1-F2
Q92526,P0C0U1,PR8,PB1-F2
O43251,P0C0U1,PR8,PB1-F2
Q6P3X3,P0C0U1,PR8,PB1-F2
Q9NVI1,P0C0U1,PR8,PB1-F2
Q12769,P0C0U1,PR8,PB1-F2
P46977,P0C0U1,PR8,PB1-F2
O75419,P0C0U1,PR8,PB1-F2
Q8WUM0,P0C0U1,PR8,PB1-F2
Q15365,I6TAH8,Aichi,NP
Q9H0A0,I6TAH8,Aichi,NP
Q9BYD3,I6TAH8,Aichi,NP
Q9NRX2,I6TAH8,Aichi,NP
P82675,I6TAH8,Aichi,NP
P82914,I6TAH8,Aichi,NP
Q00577,I6TAH8,Aichi,NP
Q13405,I6TAH8,Aichi,NP
Q9NP92,I6TAH8,Aichi,NP
Q13895,I6TAH8,Aichi,NP
Q9H814,I6TAH8,Aichi,NP
P52815,I6TAH8,Aichi,NP
P52292,I6TAH8,Aichi,NP
Q6PKG0,I6TAH8,Aichi,NP
Q9Y3D9,I6TAH8,Aichi,NP
Q2NL82,I6TAH8,Aichi,NP
