Protein1_ID,Protein2_ID,human_pname_raw,IAV_Strain,IAV_Segment,Score
P57721,P03496,PCBP3_HUMAN,PR8,NS1,0.814
P12036,P03496,NFH_HUMAN,PR8,NS1,0.814
Q8N448,P03496,LNX2_HUMAN,PR8,NS1,0.814
P60660,P03496,MYL6_HUMAN,PR8,NS1,0.813
Q8N5I3,P03428,KCNRG_HUMAN,PR8,PB2,0.811
Q8N6Y0,P03508,USBP1_HUMAN,PR8,NS2,0.809
P12235,P03496,ADT1_HUMAN,PR8,NS1,0.808
Q9H2G9,P03508,GO45_HUMAN,PR8,NS2,0.806
Q6PI77,P03496,BHLH9_HUMAN,PR8,NS1,0.806
Q8ND90,P03508,PNMA1_HUMAN,PR8,NS2,0.805
P13639,P03496,EF2_HUMAN,PR8,NS1,0.804
P27986,P69277,P85A_HUMAN,Aichi,NS1,0.803
P42338,P03496,PK3CB_HUMAN,PR8,NS1,0.8
Q8N9N5,P03496,BANP_HUMAN,PR8,NS1,0.797
Q9HCE1,P03496,MOV10_HUMAN,PR8,NS1,0.795
Q9NNW5,P03496,WDR6_HUMAN,PR8,NS1,0.794
O75410,P03508,TACC1_HUMAN,PR8,NS2,0.791
Q15654,P03431,TRIP6_HUMAN,PR8,PB1,0.79
Q9GZV4,P03496,IF5A2_HUMAN,PR8,NS1,0.789
P80723,P03496,BASP1_HUMAN,PR8,NS1,0.788
Q9NUL3,P03496,STAU2_HUMAN,PR8,NS1,0.788
Q8NF50,P03508,DOCK8_HUMAN,PR8,NS2,0.787
Q12800,P03508,TFCP2_HUMAN,PR8,NS2,0.784
P62195,P03496,PRS8_HUMAN,PR8,NS1,0.781
Q5TA45,P03496,INT11_HUMAN,PR8,NS1,0.781
Q08380,P03496,LG3BP_HUMAN,PR8,NS1,0.777
O00505,P03433,IMA4_HUMAN,PR8,PA,0.776
Q8N9N5,P03508,BANP_HUMAN,PR8,NS2,0.773
Q7L2E3,P03496,DHX30_HUMAN,PR8,NS1,0.772
Q96IK5,P03466,GMCL1_HUMAN,PR8,NP,0.766
Q8NHQ1,P03431,CEP70_HUMAN,PR8,PB1,0.766
Q9P2Y5,P03508,UVRAG_HUMAN,PR8,NS2,0.762
Q9HAV0,P03496,GBB4_HUMAN,PR8,NS1,0.761
Q8N5R6,P03508,CCD33_HUMAN,PR8,NS2,0.761
P02511,P03508,CRYAB_HUMAN,PR8,NS2,0.759
O14979,P03496,HNRDL_HUMAN,PR8,NS1,0.759
P62917,P03431,RL8_HUMAN,PR8,PB1,0.755
Q96MC5,P03466,MERB1_HUMAN,PR8,NP,0.753
Q92569,P03496,P55G_HUMAN,PR8,NS1,0.751
O00459,C3W5S7,P85B_HUMAN,CA04,NS1,0.751
Q8N6Y0,P03431,USBP1_HUMAN,PR8,PB1,0.751
P52294,P03428,IMA5_HUMAN,PR8,PB2,0.747
Q5SXM2,P03496,SNPC4_HUMAN,PR8,NS1,0.747
P50222,P03485,MEOX2_HUMAN,PR8,M1,0.741
O14654,C3W5S7,IRS4_HUMAN,CA04,NS1,0.739
P46778,P03496,RL21_HUMAN,PR8,NS1,0.739
O43823,P03428,AKAP8_HUMAN,PR8,PB2,0.734
Q86YZ3,P03496,HORN_HUMAN,PR8,NS1,0.734
O43889,P03508,CREB3_HUMAN,PR8,NS2,0.733
P0C7W6,P03508,CC172_HUMAN,PR8,NS2,0.729
Q9UJC3,P03428,HOOK1_HUMAN,PR8,PB2,0.729
Q9H190,P03485,SDCB2_HUMAN,PR8,M1,0.728
P33993,P03433,MCM7_HUMAN,PR8,PA,0.727
P13674,P03431,P4HA1_HUMAN,PR8,PB1,0.727
P15822,P03496,ZEP1_HUMAN,PR8,NS1,0.723
O43889,P03428,CREB3_HUMAN,PR8,PB2,0.723
P27348,P03496,1433T_HUMAN,PR8,NS1,0.722
P50222,P03431,MEOX2_HUMAN,PR8,PB1,0.721
Q9HA38,P03496,ZMAT3_HUMAN,PR8,NS1,0.721
P51116,P03508,FXR2_HUMAN,PR8,NS2,0.721
P68366,P03496,TBA4A_HUMAN,PR8,NS1,0.721
P08195,P03431,4F2_HUMAN,PR8,PB1,0.72
Q9UL40,P03431,ZN346_HUMAN,PR8,PB1,0.717
P50570,P03433,DYN2_HUMAN,PR8,PA,0.715
Q562R1,P03496,ACTBL_HUMAN,PR8,NS1,0.713
P50222,P03433,MEOX2_HUMAN,PR8,PA,0.713
Q8TD10,P03466,MIPO1_HUMAN,PR8,NP,0.712
Q15773,P03428,MLF2_HUMAN,PR8,PB2,0.712
Q8N9N5,P03428,BANP_HUMAN,PR8,PB2,0.709
Q9C099,P03496,LRCC1_HUMAN,PR8,NS1,0.708
Q5JVF3,C3W5S7,PCID2_HUMAN,CA04,NS1,0.708
P05388,P03496,RLA0_HUMAN,PR8,NS1,0.707
Q14764,P03431,MVP_HUMAN,PR8,PB1,0.707
