Protein1_ID,Protein2_ID,human_pname_raw,IAV_Strain,IAV_Segment,Score
Q71DI3,P03508,H32_HUMAN,PR8,NS2,0.305
Q9UJV9,P03496,DDX41_HUMAN,PR8,NS1,0.303
Q6P1J9,P03431,CDC73_HUMAN,PR8,PB1,0.299
O00743,P03431,PPP6_HUMAN,PR8,PB1,0.299
Q9HCE1,I6TAH8,MOV10_HUMAN,Aichi,NP,0.298
P27824,P03468,CALX_HUMAN,PR8,NA,0.298
Q09161,I6TAH8,NCBP1_HUMAN,Aichi,NP,0.298
P82932,I6TAH8,RT06_HUMAN,Aichi,NP,0.298
Q9UN86,P03433,G3BP2_HUMAN,PR8,PA,0.298
P62841,P03496,RS15_HUMAN,PR8,NS1,0.297
P61204,P03496,ARF3_HUMAN,PR8,NS1,0.297
P82673,P03496,RT35_HUMAN,PR8,NS1,0.296
P35268,P03433,RL22_HUMAN,PR8,PA,0.293
O43264,P06821,ZW10_HUMAN,PR8,M2,0.293
Q9Y2R9,P03508,RT07_HUMAN,PR8,NS2,0.293
Q96KR1,P03431,ZFR_HUMAN,PR8,PB1,0.291
Q9C005,P03433,DPY30_HUMAN,PR8,PA,0.291
P16520,P03496,GBB3_HUMAN,PR8,NS1,0.291
Q9P015,I6TAH8,RM15_HUMAN,Aichi,NP,0.29
Q9BQA1,P03428,MEP50_HUMAN,PR8,PB2,0.29
Q9NYU2,P03468,UGGG1_HUMAN,PR8,NA,0.289
Q9Y2G8,P03431,DJC16_HUMAN,PR8,PB1,0.289
P53618,P03431,COPB_HUMAN,PR8,PB1,0.288
Q9Y5V3,P03452,MAGD1_HUMAN,PR8,HA,0.286
P11387,P03431,TOP1_HUMAN,PR8,PB1,0.286
Q6NZI2,P03428,CAVN1_HUMAN,PR8,PB2,0.286
